Race,Fleet,SailNo,HelmName,HelmAgeGroup,HelmSex,Code
2,Pro,82,Kevin Greenslade,M,M,ATT
2,Pro,33,Jim Crossley,M,M,ATT
2,Pro,78,Tim Frampton,M,M,ATT
2,Pro,659,James Dinsmore,-,M,ATT
2,Pro,67,Simon Pettifer,M,M,ATT
2,Pro,888,Michael George,M,M,ATT
2,Pro,427,Leigh Kingaby,-,M,ATT
2,Pro,68,Allan Cross,M,M,ATT
2,Pro,87,Jasper Geddes,U20,M,ATT
2,Pro,81,Jack Bassett,U20,M,ATT
2,Pro,40,Tim Gibson,M,M,ATT
2,Pro,945,Nick Welsh,-,M,ATT
2,Pro,32,Jason Clarke,-,M,ATT
2,Pro,97,Paul Sibley,-,M,ATT
2,Pro,630,Shaun Cook,-,M,ATT
2,Pro,468,Scotty Stallman,U17,M,ATT
2,Pro,284,Kacper Wozniak,-,M,ATT
2,Pro,939,James Battye,U20,M,ATT
2,Pro,766,Jason Hill,M,M,ATT
2,Pro,186,Chris Cunningham,-,M,ATT
2,Pro,746,Jed Cunningham,V,M,ATT
2,Pro,63,Dave White,V,M,ATT
2,Pro,1 o bib,Jonathan Mobbs,V,M,ATT
2,Pro,157,Nigel Spriggs,M,M,ATT
2,Pro,14,Scott Harrison,M,M,ATT
2,Pro,3 o bib,Paul Shotbolt,M,M,ATT
2,Pro,88,Roger Clarke,M,M,ATT
2,Pro,131,Paul Simmons,-,M,ATT
