Fleet,HelmName,RaceNo,Code
Pro,Kevin Greenslade,3,ATT
Pro,Jim Crossley,3,ATT
Pro,James Dinsmore,3,ATT
Pro,Simon Pettifer,3,ATT
Pro,Michael George,3,ATT
Pro,Keith Atkinson,3,ATT
Pro,Leigh Kingaby,3,ATT
Pro,Nick Welsh,3,ATT
Pro,Scotty Stallman,3,ATT
Pro,Kacper Wozniak,3,ATT
Pro,James Battye,3,ATT
Pro,Jack Bassett,3,ATT
Pro,Paul Sibley,3,ATT
Pro,Shaun Cook,3,ATT
Pro,Jonathan Mobbs,3,ATT
Pro,Scott Harrison,3,ATT
Pro,Jenna Gibson,3,ATT
Pro,Simon Cofield11,3,ATT
Pro,Sam Anstey,3,ATT
Pro,Roger Clark,3,ATT
