Tally,Fleet,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
17,Foil,40,,Tim Gibson,M,M,3,ATT
18,Foil,210,,Gavin Nicholson,M,M,3,ATT
16,Foil,577,,Rafferty Read,Y,M,3,ATT
