Tally,Fleet,SailNo,AltSailNo,HelmName,HelmAgeGroup,HelmSex,RaceNo,Code
27,Pro,659,,James Dinsmore,M,M,3,ATT
28,Pro,67,,Simon Pettifer,M,M,3,ATT
29,Pro,888,,Michael George,M,M,3,ATT
30,Pro,427,IT160,Leigh Kingaby,-,M,3,ATT
31,Pro,945,,Nick Welsh,-,M,3,ATT
32,Pro,68,,Scotty Stallman,Y,M,3,ATT
33,Pro,630,,Shaun Cook,-,M,3,ATT
34,Pro,14,,Scott Harrison,M,M,3,ATT
25,Pro,426,,James Faley,Y,M,3,ATT
26,Pro,168,,Lewis Limm,Y,M,3,ATT
23,Pro,98AUS,,Mark Palmer,GM,M,3,ATT
24,Pro,248,,Alice Read,-,F,3,ATT
21,Pro,544,,Peter Whitmore,M,M,3,ATT
22,Pro,34,,Mark Ingram,M,M,3,ATT
12,Amateur,482,,Rob Mulholland,GM,M,3,ATT
