RaceNo,Rank,Fleet,SailNo,HelmName,HelmAgeGroup,HelmSex
4,1st,Amateur,43,Simon Langley,V,M
4,1st,Amateur,44,David Strudwick,V,M
4,1st,Amateur,40,Tim Gibson,M,M
4,1st,Amateur,910,Henry Seifert,U20,M
4,1st,Amateur,942,Matt Cox,U20,M
4,1st,Amateur,464,Jasper Geddes,U17,M
4,1st,Amateur,368,James Davenport,-,M
4,1st,Amateur,984,Simon Chippington,M,M
4,1st,Amateur,164,Bob Ingram,V,M
4,1st,Amateur,1 Y,Hugo Thomas,U17,M
4,1st,Amateur,939,James Battye,U17,M
4,1st,Masterblaster,16,Scotty Stallmen,U17,M
4,2nd,Masterblaster,17,Samuel Anstey,U17,M
4,3rd,Masterblaster,15,Charles Milner,V,M
4,4th,Masterblaster,18,Mandy Body,M,F
4,5th,Masterblaster,30,Kevin Stibbards,V,M
4,6th,Masterblaster,31,Maximilian Weber,U17,M
4,1st,Pro,69 sin,Chris Beng,-,M
4,1st,Pro,54,Lee Marrs,-,M
4,1st,Pro,427,Leigh Kingaby,-,M
4,1st,Pro,115,Simon Colfield,-,M
4,1st,Pro,888,Michael George,M,M
4,1st,Pro,93,Richard Hobson,M,M
4,1st,Pro,998,Jack Trollope,U20,M
4,1st,Pro,643,Christopher Guest,-,M
4,1st,Pro,82,Kevin Greenslade,-,M
4,1st,Pro,78,Tim Frampton,M,M
4,1st,Pro,15,Sam Latham,-,M
4,1st,Pro,659,James Dinsmore,-,M
4,1st,Pro,67,Simon Pettifer,-,M
4,1st,Pro,709,Christian Body,-,M
