Fleet,SailNo,HelmName,HelmAgeGroup,HelmSex,Code,Race
Masterblaster,19,ÅPatricia Flecks,M,F,ATT,7
Masterblaster,20,Anne Welsh,V,F,ATT,7
Masterblaster,21,Jess Austin,-,F,ATT,7
